tanggal_rilis,jam_rilis,judul_berita,link
15 May 2014,1899-12-31T10:42:17Z,Fasilitas Perawatan di Rumah Sakit Dipenuhi Tahun Depan,https://beritajakarta.com/read/2226/Fasilitas_Perawatan_di_Rumah_Sakit_Dipenuhi_Tahun_Depan
16 May 2014,1899-12-31T09:57:34Z,"Terendam Banjir, Warga Kampung Pulo Belum Ngungsi","https://beritajakarta.com/read/2227/_Terendam_Banjir,_Warga_Kampung_Pulo_Belum_Ngungsi"
16 May 2014,1899-12-31T11:04:39Z,"Tambah Bus Tingkat Wisata, Disparbud Anggarkan Rp 25 Miliar","https://beritajakarta.com/read/2229/Tambah_Bus_Tingkat_Wisata,_Disparbud_Anggarkan_Rp_25_Miliar"
16 May 2014,1899-12-31T01:01:01Z,Warga Minta Percepatan Normalisasi Kali Pesanggrahan,https://beritajakarta.com/read/2228/Warga_Minta_Percepatan_Normalisasi_Kali_Pesanggrahan_
16 May 2014,1899-12-31T01:22:04Z,BPK Periksa Kasie PU Kecamatan,https://beritajakarta.com/read/2233/BPK_Periksa_Kasie_PU_Kecamatan_
16 May 2014,1899-12-31T02:24:31Z,Toilet di Kantor Walikota Jakbar Rusak,https://beritajakarta.com/read/2235/Toilet_di_Kantor_Walikota_Jakbar_Rusak
16 May 2014,1899-12-31T02:42:34Z,Jokowi Resmikan Pasar Jembatan Dua,https://beritajakarta.com/read/2234/Jokowi_Resmikan_Pasar_Jembatan_Dua
16 May 2014,1899-12-31T03:06:55Z,"Normalisasi Kali Sunter, 200 Makam Direlokasi","https://beritajakarta.com/read/2236/Normalisasi_Kali_Sunter,_200_Makam_Direlokasi"
16 May 2014,1899-12-31T03:23:22Z,DKI Akan Bangun 3 Rumah Sakit Khusus Anak,https://beritajakarta.com/read/2238/DKI_Akan_Bangun_3_Rumah_Sakit_Khusus_Anak
16 May 2014,1899-12-31T04:33:55Z,Gedung SMA 18 Warakas Rusak Parah,https://beritajakarta.com/read/2242/Gedung_SMA_18_Warakas_Rusak_Parah
16 May 2014,1899-12-31T05:35:28Z,Pedestrian di Jl Gajah Mada Dicaplok Perkantoran,https://beritajakarta.com/read/2247/Pedestrian_di_Jl_Gajah_Mada_Dicaplok_Perkantoran
16 May 2014,1899-12-31T06:10:09Z,Stasiun Senen Dipadati Pencari Tiket KA Tambahan,https://beritajakarta.com/read/2230/Stasiun_Senen_Dipadati_Pencari_Tiket_KA_Tambahan
16 May 2014,1899-12-31T06:28:19Z,Sejumlah Jembatan di Jakbar Marak PKL,https://beritajakarta.com/read/2237/Sejumlah_Jembatan_di_Jakbar_Marak_PKL
16 May 2014,1899-12-31T06:48:17Z,"Rawan Kejahatan, PJU di Flyover Pasar Rebo Ditambah","https://beritajakarta.com/read/2245/Rawan_Kejahatan,_PJU_di_Flyover_Pasar_Rebo_Ditambah"
16 May 2014,1899-12-31T07:13:58Z,Data Siluman PHL Dinas Kebersihan Diisi Pemulung,https://beritajakarta.com/read/2246/Data_Siluman_PHL_Dinas_Kebersihan_Diisi_Pemulung
16 May 2014,1899-12-31T07:47:35Z,Peminat Kampung Deret di Jakbar Membludak,https://beritajakarta.com/read/2251/Peminat_Kampung_Deret_di_Jakbar_Membludak
16 May 2014,1899-12-31T08:10:11Z,Basuki Sarankan Polisi Tilang yang Pacaran di Flyover,https://beritajakarta.com/read/2240/Basuki_Sarankan_Polisi_Tilang_yang_Pacaran_di_Flyover
16 May 2014,1899-12-31T08:33:30Z,"Jelang Puasa, PKL di Ibu Kota Akan Ditertibkan","https://beritajakarta.com/read/2241/Jelang_Puasa,_PKL_di_Ibu_Kota_Akan_Ditertibkan"
16 May 2014,1899-12-31T08:51:04Z,Jokowi: Rusunawa Tambora Sekelas Apartemen,https://beritajakarta.com/read/2244/Jokowi:_Rusunawa_Tambora_Sekelas_Apartemen
16 May 2014,1899-12-31T09:10:25Z,Logo HUT Jakarta ke-487 Resmi Diluncurkan,https://beritajakarta.com/read/2254/Logo_HUT_Jakarta_ke-487_Resmi_Diluncurkan
16 May 2014,1899-12-31T09:38:06Z,PMKS di Ibu Kota Akan Dijerat Pasal Penipuan,https://beritajakarta.com/read/2248/PMKS_di_Ibu_Kota_Akan_Dijerat_Pasal_Penipuan
